participant,participant_idx,understood_eq_felt
5c41f9ce4fe4f800016dfaac,1,FALSE
60e46e6f6bc0c2cdf5d077ce,2,TRUE
60e6b55696dade249aa3249b,3,TRUE
60e9f29fe1f58945339696d0,4,TRUE
651d64e4756ee3358eeb981f,5,FALSE
65feaaac53eb219f09ad5ea0,6,TRUE
6661b6019ab530fb44632cc2,7,TRUE
66912a96b8dba143ceba8276,8,TRUE
66ab330c867b56b7333c7f26,9,TRUE
66ab9137e5573312997df691,10,TRUE
677009b08130c3028f6a8a6d,11,FALSE
678cc86b7a22ead21c11ea4d,12,TRUE
6790e119760887e0183e64f5,13,TRUE
67acd3c9faab3a14dfe87135,14,TRUE
67d588ee7c65706eaccfb45a,15,TRUE
67d9815c22d7594f00bd8280,16,TRUE
67dae998d8f2cfb8a8e3bf03,17,FALSE
67f6a640d2046b13fcf33328,18,TRUE
68598a1d4cebd213b2abb1d9,19,FALSE
697ccad66fdf3bbcccb90fe4,20,TRUE
6982544679288685d8a0199f,21,FALSE
6982fc304b8a81e87d40e5bd,22,TRUE
69a1a0ea10a7df83e3887c25,23,TRUE
69a7048762f2aacbfb3c2f02,24,FALSE
69b7e04340b00585acbb91ac,25,FALSE
69bafd2bf7b48bfde494d532,26,TRUE
69d04f34ccb85dbac4c3628c,27,TRUE
69de2b262f16bdb2c0122847,28,FALSE
69ef99a65d19811a9ddad38b,29,TRUE
69fdce52c07d954848678eaf,30,TRUE
6a0092581cd317f1ff1765a2,31,FALSE
6a01c4c8248651c0157c76c5,32,FALSE
6a087d170d5521dd2055e045,33,FALSE
6a09ed98e46b23c32ad77c35,34,TRUE
6a0ac6bc5fb56e6d7f8e6569,35,FALSE
